postcode,lat,long
3000,-37.817403,144.956776
3001,-37.817403,144.956776
3002,-37.818517,144.982207
3003,-37.810871,144.949592
3004,-37.841764,144.97210733333333
3005,-37.824608,144.950858
3006,-37.824272375,144.9590002
3008,-37.814719,144.948039
3010,-37.796152,144.961351
3011,-37.807101,144.907953
3012,-37.807135,144.861162
3013,-37.814183,144.888686
3015,-37.838242,144.880556
3016,-37.863743,144.888461
3018,-37.86172,144.812736
3019,-37.784683,144.854014
3020,-37.777204,144.829945
3021,-37.743361,144.796693
3022,-37.795937,144.793961
3023,-37.775501074285714,144.76850042857146
3024,-37.86340348,144.58016486000002
3025,-37.835562,144.839704
3026,-37.8730815,144.708538
3027,-37.90894537333333,144.7504365
3028,-37.875066,144.777165
3029,-37.837165,144.705831
3030,-37.91624,144.64209
3031,-37.79119,144.923403
3032,-37.774486,144.897221
3033,-37.74107,144.857638
3034,-37.761235,144.86194
3036,-37.705324,144.82246
3037,-37.715579,144.780474
3038,-37.700454,144.766873
3039,-37.766184,144.922995
3040,-37.751845,144.902556
3041,-37.730284545,144.903887225
3042,-37.73047175,144.87122875
3043,-37.691916,144.888368
3044,-37.731138,144.936356
3045,-37.674739,144.836195
3046,-37.706578,144.927968
3047,-37.681105,144.930247
3048,-37.653917,144.923609
3049,-37.673182,144.888492
3050,-37.800324,144.954581
3051,-37.8006,144.943559
3052,-37.788996,144.948903
3053,-37.803569,144.966112
3054,-37.786971,144.96724
3055,-37.763584,144.942222
3056,-37.766292,144.960108
3057,-37.770752,144.97830000000002
3058,-37.739901,144.964524
3059,-37.639887,144.879626
3060,-37.707326,144.967874
3061,-37.666265,144.956763
3062,-37.632986,144.932557
3063,-37.595015,144.856082
3064,-37.546522,144.942199
3065,-37.802608,144.977795
3066,-37.804846,144.986906
3067,-37.803515,144.998203
3068,-37.790974,144.98622
3070,-37.774064,144.999745
3071,-37.759426,145.007006
3072,-37.74247,145.005702
3073,-37.712474,145.005955
3074,-37.684684,145.006644
3075,-37.66607,145.002679
3076,-37.643598,145.022137
3078,-37.778298,145.025853
3079,-37.772675,145.048573
3081,-37.743008,145.046401
3082,-37.664858,145.065658
3083,-37.701346,145.056223
3084,-37.744406,145.082685
3085,-37.724398,145.06988
3086,-37.721328,145.047012
3087,-37.711787,145.082426
3088,-37.69750603,145.113624275
3089,-37.667713,145.150369
3090,-37.668408,145.107802
3091,-37.637478,145.136688
3093,-37.73919,145.115208
3094,-37.719759,145.124727
3095,-37.713299,145.158579
3096,-37.670851,145.185826
3097,-37.695254,145.224204
3099,-37.592101,145.192854
3101,-37.807397,145.036575
3102,-37.793805,145.05219
3103,-37.809465591999995,145.0700415
3104,-37.793695,145.081714
3105,-37.772477,145.084806
3106,-37.758335,145.142675
3107,-37.765225,145.110677
3108,-37.786429,145.125797
3109,-37.784786,145.161649
3111,-37.794054,145.186334
3113,-37.752123,145.204689
3114,-37.778595,145.212599
3115,-37.736734,145.267586
3116,-37.737629,145.313086
3121,-37.82374875,145.00245175
3122,-37.822725,145.030602
3123,-37.829752,145.049415
3124,-37.840867,145.068191
3125,-37.851305,145.101
3126,-37.827203,145.075748
3127,-37.825173,145.097236
3128,-37.828866,145.122393
3129,-37.806965,145.125084
3130,-37.81805,145.149653
3131,-37.817798,145.174489
3132,-37.819222,145.196686
3133,-37.848786,145.192303
3134,-37.8014844,145.2376314
3135,-37.819594,145.248209
3136,-37.779876,145.282396
3137,-37.819364,145.313346
3138,-37.78391,145.322794
3139,-37.814506,145.532666
3140,-37.759154,145.363185
3141,-37.840679,144.991264
3142,-37.84411,145.017732
3143,-37.858918,145.019393
3144,-37.857443,145.034127
3145,-37.873557,145.049328
3146,-37.857116,145.057833
3147,-37.867864,145.092946
3148,-37.8803215,145.09563275
3149,-37.880748,145.128118
3150,-37.88943966666667,145.170172
3151,-37.85523,145.151119
3152,-37.864951,145.221695
3153,-37.845116,145.270141
3154,-37.856009,145.31784
3155,-37.861799,145.284418
3156,-37.917932,145.292895
3158,-37.910077,145.324468
3159,-37.921894,145.3892
3160,-37.935097,145.350821
3161,-37.873733,145.019929
3162,-37.892139,145.023394
3163,-37.896497,145.057237
3164,-38.02243,145.23738
3165,-37.922369,145.059426
3166,-37.902805,145.089719
3167,-37.923345,145.087614
3168,-37.91342,145.12665
3169,-37.945149,145.115271
3170,-37.920945,145.167859
3171,-37.944608,145.156783
3172,-37.975981,145.13465
3173,-38.006771,145.164863
3174,-37.966218,145.17877
3175,-38.016114,145.208504
3176,-37.8992,145.23
3177,-37.990985,145.237462
3178,-37.924431,145.241589
3179,-37.897137,145.222634
3180,-37.893263,145.246731
3181,-37.854683,144.995504
3182,-37.865322,144.979478
3183,-37.869072,144.999026
3184,-37.881414,144.984034
3185,-37.891841,145.002571
3186,-37.915066,144.996329
3187,-37.925371,145.013593
3188,-37.938889,145.007238
3189,-37.942021,145.047802
3190,-37.951394,145.038147
3191,-37.956585,145.013472
3192,-37.965655,145.0623
3193,-37.978698,145.031561
3194,-37.985059,145.067356
3195,-38.007024,145.104105
3196,-38.046479,145.122762
3197,-38.072748,145.134111
3198,-38.103194,145.137811
3199,-38.162578,145.135961
3200,-38.126458,145.157574
3201,-38.092874,145.177905
3202,-37.960555,145.092698
3204,-37.916956,145.036783
3205,-37.831693,144.958176
3206,-37.846534,144.95086
3207,-37.832179,144.918044
3211,-37.943586,144.498479
3212,-38.039958,144.422666
3213,-38.0275757825,144.29168944999998
3214,-38.084781,144.352385
3215,-38.111002,144.33452
3216,-38.215906,144.334005
3217,-38.16387238,144.48210626
3218,-38.127168735,144.27461813333332
3219,-38.17277,144.389533
3220,-38.157038,144.34652
3221,-38.181608,144.427419
3222,-38.21266423166667,144.56280660000002
3223,-38.145049222500006,144.656789425
3224,-38.19139413,144.4436099
3225,-38.271074,144.614191
3226,-38.263811,144.523761
3227,-38.263052,144.40814
3228,-38.307545,144.299978
3230,-38.409363,144.176397
3231,-38.463189942,144.08709958
3232,-38.544977,143.970167
3233,-38.679417,143.671777
3234,-38.64923261166667,143.82576686666667
3235,-38.416162744999994,143.93813825
3236,-38.521903,143.712384
3237,-38.716838,143.474392
3238,-38.781787,143.429978
3239,-38.564014,143.448102
3240,-38.263005,144.174411
3241,-38.20363,143.892824
3242,-38.346704,143.740326
3243,-38.364034,143.82588
3249,-38.39087799640001,143.562663672
3250,-38.311513,143.584742
3251,-38.1533994,143.63724964
3254,-38.289636,143.52228
3260,-38.209584,143.244766
3264,-38.232443,142.884394
3265,-38.178237,142.952372
3266,-38.407094,143.133721
3267,-38.466647,143.06073
3268,-38.52974429263158,142.9006478736842
3269,-38.660637,143.177116
3270,-38.602117,142.870164
3271,-37.888549,142.98753
3272,-37.982186,142.853634
3273,-37.981249,142.660643
3274,-37.960778,142.478612
3275,-38.301794,142.457611
3276,-38.1173704,142.4454555
3277,-38.389835,142.660221
3278,-38.287351154999996,142.589626
3279,-38.214555,142.657483
3280,-38.37884,142.482889
3281,-38.254454,142.630109
3282,-38.268176,142.351658
3283,-38.313434,142.328761
3284,-38.270398,142.119266
3285,-38.290199,142.058916
3286,-38.013071888,141.95947854000002
3287,-38.059868,142.31953
3289,-37.912943054,142.2218231
3292,-38.038873,141.051987
3293,-37.655945,142.527253
3294,-37.573978,142.312764
3300,-37.743155,142.013356
3301,-38.118855,142.034141
3302,-37.847981,141.706379
3303,-37.980868,141.789606
3304,-38.182084,141.952156
3305,-38.235475,141.437227
3309,-37.82644,141.511007
3310,-37.70789,141.549163
3311,-37.468159,141.229722
3312,-37.629109364499996,141.36865329
3314,-37.54709236833333,142.001372
3315,-37.41753758888889,141.6795610611111
3317,-37.166673,141.451647
3318,-37.025316,141.269571
3319,-36.873961,141.051389
3321,-38.087758,143.88056
3322,-38.021333,143.743305
3323,-38.026314,143.520934
3324,-37.941939,143.375414
3325,-37.877452,143.185911
3328,-38.018664,144.043058
3329,-38.00397985666667,143.86337406666667
3330,-37.918437,143.758576
3331,-38.049195,144.194625
3332,-37.944446,144.097178
3333,-37.87179,144.04476
3334,-37.75803,144.086089
3335,-37.716312566,144.66669166
3336,-37.719007436666665,144.69504063333332
3337,-37.656293665999996,144.56641488
3338,-37.713161574285714,144.5786047
3340,-37.791231485384614,144.3837196846154
3341,-37.573711,144.308232
3342,-37.651463,144.239102
3345,-37.5878,144.123664
3350,-37.571165775652176,143.86035626086957
3351,-37.758248,143.637463
3352,-37.484087194838715,143.66482746774193
3353,-37.7778,144.835743
3354,-37.560917,143.867158
3355,-37.530285,143.82561
3356,-37.592283,143.82846
3357,-37.653945,143.883416
3358,-37.58012926,143.7928013
3360,-37.769259233999996,143.52912931999998
3361,-37.752643,143.373089
3363,-37.425565524285716,143.90025082857144
3364,-37.334240109615386,143.91586983846153
3370,-37.2586129675,143.8337099
3371,-37.19491106,143.64872822
3373,-37.457785,143.343429
3374,-37.231524,142.956916
3375,-37.424288,143.143621
3377,-37.22127543846154,142.9633827346154
3378,-37.528792,142.985403
3379,-37.55988844444445,142.53942355555554
3380,-37.0666,142.771159
3381,-37.00465040689655,142.70752850689652
3384,-37.0011802,143.08037008181816
3385,-36.8937231825,142.613445775
3387,-36.81326208454545,142.87470974545454
3388,-36.597861,142.693946
3390,-36.583744,142.487468
3391,-36.092132,142.446015
3392,-36.40075079333334,142.67831526666666
3393,-36.257725,142.387341
3395,-35.90729978,142.48768665
3396,-35.7157,142.329159
3399,-36.608521,142.357023
3400,-36.72524500000001,142.203729
3401,-36.876342370833335,141.987006825
3402,-37.164183,142.666302
3407,-37.298061,141.948371
3409,-36.817407761666665,141.800493575
3412,-36.658804,141.366071
3413,-36.699331,141.201068
3414,-36.388628,142.093883
3415,-36.352459,141.339702
3418,-36.074144,141.538074
3419,-36.226015,141.101929
3420,-36.41273,141.017332
3423,-36.13191,141.940764
3424,-35.727789,141.930872
3427,-37.643461,144.707974
3428,-37.591069,144.811494
3429,-37.56762,144.728973
3430,-37.494056,144.806632
3431,-37.474551,144.69202
3432,-37.448455,144.792581
3433,-37.413302,144.752095
3434,-37.35388,144.750796
3435,-37.179453,144.743358
3437,-37.501619,144.513018
3438,-37.457528,144.602032
3440,-37.413377,144.546151
3441,-37.399224,144.603892
3442,-37.330661,144.548846
3444,-37.171788,144.544716
3446,-37.184831,144.374338
3447,-37.157744,144.322487
3448,-37.075364,144.387629
3450,-37.061635,144.214903
3451,-37.125338,144.21419
3453,-36.950365,144.281488
3458,-37.424116,144.33471
3460,-37.351704,144.144216
3461,-37.287848,144.170995
3462,-37.083561,144.053611
3463,-36.962684942,144.05933574666668
3464,-37.019811,143.841414
3465,-37.021478,143.611335
3467,-37.105993,143.412675
3468,-37.261481,143.379493
3469,-37.172964,143.280627
3472,-36.864952,143.657638
3475,-36.70633,143.51213
3477,-36.732248993666666,143.16269518999997
3478,-36.688551,143.230699
3480,-36.310685542857144,142.98439804761904
3482,-36.17028,142.766588
3483,-35.901765,142.890804
3485,-35.711533,142.671962
3487,-35.515627,142.616079
3488,-35.447389136666665,142.43550386666666
3489,-35.332477,142.425302
3490,-35.0053726,142.0771541
3491,-35.434099,142.218273
3494,-34.486406,142.348315
3496,-34.271794799999995,141.7157077
3498,-34.238385,142.172516
3500,-34.1931,142.154161
3501,-34.243279,142.100896
3502,-37.972887,145.25835
3505,-34.180532,142.004192
3506,-35.204199,141.385876
3507,-35.120596,142.035659
3509,-35.155031,141.680385
3512,-35.30165771666666,141.08751583333333
3515,-36.76865931333333,144.06317140000002
3516,-36.607616,144.041722
3517,-36.483116,143.886832
3518,-36.474937,143.586215
3520,-36.405771,143.810786
3521,-37.090071,144.912693
3522,-37.05785574,144.73183506666666
3523,-36.837461,144.768359
3525,-36.27262809,143.3367295235294
3527,-36.07612436153846,143.27625789230768
3529,-35.824259,143.232677
3530,-35.7068890825,143.134966075
3531,-35.616408,142.943814
3533,-35.379917169230765,142.78105309999998
3537,-36.079335,143.744455
3540,-35.89277,143.45008
3542,-35.7137681525,143.395655
3544,-35.51465392857143,143.19119298571428
3546,-35.07621311285715,142.8432165714286
3549,-34.72699473166667,142.81042479166666
3550,-36.764269,144.285267
3551,-36.78316344756097,144.46466803658535
3552,-37.825288,145.011924
3554,-36.757,144.279
3555,-36.777226,144.245239
3556,-36.656422,144.178282
3557,-36.63511,144.576787
3558,-36.52036324833333,144.64367575
3559,-36.57852308625,144.8168533625
3561,-36.32812202333333,144.71026386666668
3562,-36.062544,144.46276
3563,-36.256251,144.515589
3564,-36.16985193642857,144.71970664999998
3565,-36.182336,144.511713
3566,-35.945748,144.383334
3567,-35.931669,144.262942
3568,-35.809462,144.184089
3570,-36.515303,144.28053
3571,-36.36819,144.206865
3572,-36.266642,144.257135
3573,-36.164865,144.297958
3575,-36.055725,144.159028
3576,-36.128029,143.917515
3579,-35.763233836000005,143.76463145333335
3580,-35.639761,144.094672
3581,-35.628333,143.78521
3583,-35.509635,143.66458
3584,-35.431026,143.637617
3585,-35.344298334,143.3283438
3586,-35.114021,143.792594
3588,-35.29429,143.470325
3589,-35.228436,143.441248
3590,-35.235708,143.493525
3591,-35.202209,143.394092
3594,-35.138155,143.346028
3595,-35.202752,143.351682
3596,-35.123806,143.327682
3597,-34.965359,143.189786
3599,-34.729742,143.143231
3607,-36.839707,145.179762
3608,-36.740713,145.095753
3610,-36.577628,145.229349
3612,-36.57129175833333,145.03129271666668
3614,-36.481397595000004,145.28493265
3616,-36.46718976555556,145.13667222222224
3617,-36.423823,145.178369
3618,-36.37708,145.125014
3619,-37.659566,144.936295
3620,-36.297127431250004,145.08311567500002
3621,-36.218498555,144.9685818
3622,-36.231961,144.87573
3623,-36.461381,144.976813
3624,-36.410186,144.965763
3629,-36.287306,145.260653
3630,-36.380853,145.403176
3631,-36.428694,145.526693
3632,-36.544462,145.603242
3633,-36.307936,145.46296
3634,-36.224186,145.440315
3635,-36.142596,145.30827
3636,-36.093878,145.479471
3637,-36.050686,145.329026
3638,-36.03202,145.246572
3639,-36.021295,145.047253
3640,-36.00978,145.486015
3641,-35.89718,145.428306
3643,-35.955363,145.631874
3644,-35.945353,145.632682
3646,-36.24712981875,145.71189944999998
3647,-36.385331,145.704473
3649,-36.082665,145.688671
3658,-37.24160993636364,145.10835129999998
3659,-37.110344,145.07088
3660,-37.0360182275,145.24019289166668
3661,-38.195993,146.535346
3662,-36.93742614999999,144.95443475000002
3663,-36.910878,145.158863
3664,-36.911365265,145.35083285000002
3665,-36.844091,145.357627
3666,-36.78658611647059,145.54830612941177
3669,-36.61363742636363,145.71700065454544
3670,-36.623748,145.852449
3671,-36.385144,145.420691
3672,-36.554936,145.977761
3673,-36.669929,146.062514
3675,-36.565078,146.266835
3676,-36.341245,146.338612
3677,-36.358017,146.330564
3678,-36.68892,146.482439
3682,-36.174271,146.428656
3683,-36.180787,146.604622
3685,-36.05214783545455,146.4719270818182
3687,-36.018771,146.415927
3688,-36.119195,146.717193
3689,-37.67576,144.989793
3690,-36.135717,146.864361
3691,-36.05050056027027,147.7753793918919
3694,-36.150678,146.919493
3695,-36.304285,147.123674
3697,-36.68753,147.17925
3698,-36.722034,147.149468
3699,-36.841707135,147.3158453
3700,-36.298844954,147.33584695999997
3701,-36.548868668181825,147.4151622
3704,-36.132613,147.49344
3705,-36.322884,147.769911
3707,-36.586987351249995,148.029617175
3708,-36.070928,147.942058
3709,-36.024058837999995,147.69323636
3711,-37.41047,145.682161
3712,-37.3209,145.839057
3713,-37.23033414333333,145.89756166666666
3714,-37.201280424,145.70189894
3715,-36.985747,145.739419
3717,-37.286611,145.435776
3718,-37.144067,145.54096
3719,-37.041215,145.608491
3720,-37.017241,145.850304
3722,-37.202634,146.253268
3723,-36.93505452076923,146.25131792307693
3724,-37.053108,146.076832
3725,-36.414359,145.937326
3726,-36.332254,145.960209
3727,-36.242443,145.957776
3728,-36.148922,145.959015
3730,-36.049717377,145.95374669999998
3732,-36.686814,146.313751
3733,-36.812087,146.316338
3735,-36.515712,146.603574
3736,-36.455136,146.479489
3737,-36.63180088666666,146.84289442
3738,-36.587922,146.75397
3739,-36.641016,146.864194
3740,-36.731686,146.834561
3741,-36.962316,147.063163
3744,-36.788479,146.95979
3746,-36.31396,146.51767
3747,-36.361056,146.725705
3749,-36.388855065,146.85294290000002
3750,-37.596078,145.005578
3751,-37.554655,145.052904
3752,-37.619102,145.074353
3753,-37.476474,144.959512
3754,-37.593554,145.112985
3755,-37.563905,145.142035
3756,-37.41233,144.956641
3757,-37.469784,145.182221
3758,-37.354647,145.052552
3759,-37.650385,145.247277
3760,-37.6259644,145.2882085
3761,-37.585625,145.292381
3762,-37.354143,144.936707
3763,-37.521863,145.353378
3764,-37.263736,144.900644
3765,-37.814771,145.346621
3766,-37.817818,145.384955
3767,-37.839387,145.347505
3770,-37.708784,145.416004
3775,-37.642852,145.365993
3777,-37.606088,145.513804
3778,-37.537492,145.623011
3779,-37.539267,145.784751
3781,-37.938471,145.487862
3782,-37.938068,145.433024
3783,-37.947379,145.596576
3785,-37.885138,145.316734
3786,-37.878188,145.332431
3787,-37.866786,145.350888
3788,-37.848036,145.377128
3789,-37.889767,145.357336
3791,-37.896917,145.379622
3792,-37.89424,145.405388
3793,-37.874533,145.429715
3795,-37.836663,145.430311
3796,-37.786977,145.384922
3797,-37.867809,145.786343
3799,-37.727566,145.818512
3800,-37.910545,145.134935
3802,-37.971763,145.255599
3803,-38.009435,145.265524
3804,-37.980059,145.325994
3805,-38.037026,145.304198
3806,-38.025018,145.349488
3807,-38.048316,145.371635
3808,-38.002518,145.42327
3809,-38.069094,145.406887
3810,-38.04658,145.472514
3812,-38.070135,145.565304
3813,-38.064252,145.634339
3814,-38.10718,145.669112
3815,-38.01378,145.726311
3816,-38.043542,145.787991
3818,-38.096289,145.867337
3820,-38.207476,145.922212
3821,-37.944985923,145.9405376
3822,-38.194379,145.989901
3823,-38.210382,146.065656
3824,-38.245649,146.16397
3825,-37.9646653083871,146.35272411935483
3831,-37.993258,146.013136
3832,-37.919937,145.945214
3833,-37.83950794583333,146.03894515
3835,-38.290637,146.175271
3840,-38.245215,146.424457
3841,-37.5832,147.463
3842,-38.315452,146.414358
3844,-38.333058050588235,146.6233447352941
3847,-38.198093234,146.78343056
3850,-38.224191,147.106181
3851,-38.048458027407406,147.08496674074073
3852,-38.10569309666667,147.1367163
3853,-38.095569,146.059953
3854,-38.12413,146.596877
3856,-38.063907,146.672206
3857,-38.018616,146.694894
3858,-37.66157907238095,146.64365787142856
3859,-37.886136,146.848259
3860,-37.609101805,146.86826408125
3862,-37.58884681277778,147.21182683333333
3864,-37.860878,147.341513
3865,-37.796743,147.455946
3869,-38.364689,146.359836
3870,-38.44285330142856,146.33076924285714
3871,-38.420167541999994,146.16073049
3873,-38.298267,146.708775
3874,-38.514438,146.836248
3875,-37.795650719428565,147.63201
3878,-37.898544,147.680121
3880,-37.914728,147.727389
3882,-37.812017,147.764385
3885,-37.27558902117647,148.1156394882353
3886,-37.770977,148.426851
3887,-37.757895,148.116641
3888,-37.36692337153846,148.6595339653846
3889,-37.61426049875,148.86655625
3890,-37.566489,149.217216
3891,-37.567684,149.53890699999997
3892,-37.563775,149.909868
3893,-37.495349,147.866067
3895,-37.38467801,147.8933252
3896,-37.264671,147.707962
3898,-37.05701132923077,147.47640837692308
3900,-36.88053,147.826143
3902,-37.797042,147.814894
3903,-37.811303,147.867533
3904,-37.881041,147.839367
3909,-37.821921,147.970237
3910,-38.156369,145.198328
3911,-38.196908,145.169556
3912,-38.217991,145.227373
3913,-38.262273,145.166426
3915,-38.305806,145.136622
3916,-38.415199,145.050587
3918,-38.339871,145.155546
3919,-38.352327,145.199777
3920,-38.38752,145.19304
3921,-38.418228813333336,145.36763413333333
3922,-38.482182,145.231974
3923,-38.465552,145.293632
3925,-38.528213,145.379683
3926,-38.355231,145.094502
3927,-38.383368,145.153269
3928,-38.407828,144.975131
3929,-38.460965,144.976673
3930,-38.195017,145.093743
3931,-38.230038,145.049503
3933,-38.261168,145.096992
3934,-38.2783,145.031598
3936,-38.326447,145.007626
3937,-38.373694,145.01994
3938,-38.354321,144.931834
3939,-38.42776,144.900413
3940,-38.378498915,144.87426495
3941,-38.396077,144.827203
3942,-38.367874,144.768301
3943,-38.345527,144.739101
3944,-38.321871,144.692708
3945,-38.381582,145.697053
3946,-38.448155,145.723537
3950,-38.435217,145.812945
3951,-38.47372,145.798419
3953,-38.456456433999996,145.99685993999998
3954,-38.550379,145.937973
3956,-38.64153268,145.95283417272728
3957,-38.589302,146.126718
3958,-38.673841,145.987059
3959,-38.734636,146.066529
3960,-39.140761,146.360412
3962,-38.59472375,146.363941
3964,-38.685115,146.278804
3965,-38.693437,146.472132
3966,-38.630568,146.436583
3967,-38.647562,146.507929
3971,-38.63707014727273,146.80245198636362
3975,-38.05354,145.231114
3976,-38.043995,145.264296
3977,-38.131772015,145.2639231
3978,-38.135009,145.384606
3979,-38.44818,145.591284
3980,-38.204448,145.356937
3981,-38.207298,145.575
3984,-38.312647,145.563979
3987,-38.309048,145.689142
3988,-38.313447,145.811863
3989,49.1805,-2.10323
3990,-38.455399,145.501279
3991,-38.483041,145.466781
3992,-38.569135,145.534315
3995,-38.578071,145.630713
3996,-38.629561,145.745609
